Subject,Date,Textbook,Finished,Highlighted,Olympiad
Chemistry,January 2026,"The Art of Problem Solving Chemistry Worldwide Online Olympiad Training A",Yes,No,Yes
Chemistry,May 2025,"British Columbia Chemistry Olympiad",Yes,No,Yes
Chemistry,April 2025,"Washington University Chemistry Tournament",Yes,No,Yes
Chemistry,March 2025,"University of California Berkeley Chemistry Tournament",Yes,No,Yes
Chemistry,May 2024,"British Columbia Chemistry Olympiad",Yes,No,Yes
Biology,Future,"The USA Biology Olympiad Semifinal Exams Worked Solutions by Martyna Petrulyte",No,No,Yes
Biology,March 2024,"The USA Biology Olympiad Open Exam Exams Worked Solutions by Martyna Petrulyte",No,Yes,Yes
Astronomy,January 2027,"Astronomy 410 Astrophysics Astrophysics in a Nutshell by Dan Maoz",No,No,Yes
Astronomy,September 2026,"Astronomy 310 Astrophysics Measurements To Measure the Sky by Frederick R. Chromey",No,No,Yes
Astronomy,March 2026,"Foundations of Astrophysics by Barbara Ryden and Bradley Peterson",No,Yes,Yes
